lcr name:,KeySight E4980A
Name and description of Resistor under test: ,Cap01
GPIB source:,<bound method MessageBasedResource.read of <'GPIBInstrument'('GPIB0::17::INSTR')>>
2022-12-07,12:15:12
select the freq range,"[50, 100, 200, 300, 500, 800, 1000, 1591.5494309189535, 2000, 3000, 5000]"
2000.0,9.99989237e-07,9.718091846e-07
2000.0,9.99987088e-07,9.796225674e-07
2000.0,9.999884393e-07,9.711305775e-07
2000.0,9.999891075e-07,9.601093527e-07
2000.0,9.999890219e-07,9.579900576e-07
2000.0,9.999890106e-07,9.575803261e-07
2000.0,9.999885392e-07,9.949337006e-07
2000.0,9.999898694e-07,9.597132021e-07
2000.0,9.999897789e-07,9.683457526e-07
2000.0,9.999884415e-07,9.728753256e-07
Freq,2000,Rs,9.711535938e-07,1.0862238644777407e-08,Ls,9.99989133825e-07,7.899701272831281e-13
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 2000;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPG;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
3000.0,1.000041657e-06,2.095771177e-06
3000.0,1.000039844e-06,2.065773156e-06
3000.0,1.000041341e-06,2.081956712e-06
3000.0,1.000040885e-06,2.072777932e-06
3000.0,1.000040426e-06,2.04358713e-06
3000.0,1.000041772e-06,2.079848355e-06
3000.0,1.000039501e-06,2.081962659e-06
3000.0,1.00004046e-06,2.081473526e-06
3000.0,1.000039919e-06,2.08548091e-06
3000.0,1.000042625e-06,2.074913245e-06
3000.0,1.000040456e-06,2.091280244e-06
3000.0,1.000043011e-06,2.081342424e-06
3000.0,1.000042516e-06,2.088803917e-06
3000.0,1.000040818e-06,2.065203279e-06
3000.0,1.000042897e-06,2.063388685e-06
3000.0,1.000042309e-06,2.075470639e-06
Freq,3000,Rs,2.076814624375e-06,1.2792137911147709e-08,Ls,1.0000412773125e-06,1.1524995860558313e-12
":SOUR:DCS:STAT OFF;:BIAS:STAT OFF;:COMP:BIN:COUN:CLE;:LIST:CLE:ALL;:COMP:BIN:CLE;:AMPL:ALC OFF;:APER LONG,16;:BIAS:POL:AUTO OFF;:BIAS:RANG:AUTO ON;:BIAS:VOLT:LEV 0;:COMP:ABIN OFF;:COMP:BIN:COUN:STAT OFF;:COMP:MODE PTOL;:COMP:SLIM -9.9e+037,9.9e+037;:COMP:STAT OFF;:COMP:SWAP OFF;:COMP:TOL:NOM 0;:DISP:ENAB ON;:DISP:LINE """";:DISP:WIND:TEXT1:DATA:FMSD:DATA 1e-009;:DISP:WIND:TEXT2:DATA:FMSD:DATA 1e-009;:FORM:ASC:LONG ON;:FORM:BORD NORM;:FORM:DATA ASC,64;:FREQ:CW 3000;:FUNC:DEV1:MODE OFF;:FUNC:DEV1:REF:VAL 0;:FUNC:DEV2:MODE OFF;:FUNC:DEV2:REF:VAL 0;:FUNC:IMP:TYPE CPG;:FUNC:SMON:IDC:STAT OFF;:FUNC:SMON:VDC:STAT OFF;:INIT:CONT OFF;:LIST:MODE SEQ;:LIST:STIM:TYPE FREQ,NONE;:SOUR:DCS:VOLT:LEV 0;:TRIG:DEL 0;:TRIG:SOUR INT;:TRIG:TDEL 0;:VOLT:LEV 1;:DISP:WIND:TEXT1:DATA:FMSD:STAT OFF;:DISP:WIND:TEXT2:DATA:FMSD:STAT OFF;:FUNC:DCR:RANG:VAL 100;:FUNC:IMP:RANG:VAL 100;:OUTP:DC:ISOL:LEV:VAL 0.02;:OUTP:DC:ISOL:STAT OFF;:FUNC:DCR:RANG:AUTO ON;:FUNC:IMP:RANG:AUTO ON;:OUTP:DC:ISOL:LEV:AUTO ON;:DISP:PAGE MEASurement;
"
5000.0,1.00025007e-06,5.158855196e-06
5000.0,1.000251098e-06,5.121057117e-06
5000.0,1.000250594e-06,5.260229933e-06
5000.0,1.000252759e-06,5.210741395e-06
5000.0,1.000252589e-06,5.135547838e-06
5000.0,1.000250211e-06,5.241634626e-06
5000.0,1.000252928e-06,5.192365498e-06
5000.0,1.000253028e-06,5.139113945e-06
5000.0,1.000249591e-06,5.226026397e-06
